Cusip, Name      
00440EAS6, CHUBB INA HLDGS INC 
00440EAV9, CHUBB INA HLDGS INC 
00440EAW7, CHUBB INA HLDGS INC 
00507VAK5, ACTIVISION BLIZZARD 
00507VAM1, ACTIVISION BLIZZARD 
00507VAN9, ACTIVISION BLIZZARD 
00507VAP4, ACTIVISION BLIZZARD 
00507VAQ2, ACTIVISION BLIZZARD 
00510RAD5, ACUITY BRANDS       
00724FAC5, ADOBE INC           
00724PAB5, ADOBE INC           
00724PAC3, ADOBE INC           
00724PAD1, ADOBE INC           
007589AA2, ADVOCATE HEALTH &HOS
00774MAB1, AERCAP IRELAND      
00774MAC9, AERCAP IRELAND      
00774MAE5, AERCAP IRELAND      
00774MAG0, AERCAP IRELAND      
00774MAK1, AERCAP IRELAND      
00774MAL9, AERCAP IRELAND      
00774MAM7, AERCAP IRELAND      
00774MAN5, AERCAP IRELAND      
00774MAQ8, AERCAP IRELAND      
00774MAR6, AERCAP IRELAND      
00774MAS4, AERCAP IRELAND      
00774MAT2, AERCAP IRELAND      
00774MAU9, AERCAP IRELAND      
00774MAV7, AERCAP IRELAND      
00774MAW5, AERCAP IRELAND      
00774MAX3, AERCAP IRELAND      
00774MAY1, AERCAP IRELAND      
00774MAZ8, AERCAP IRELAND      
00774MBB0, AERCAP IRELAND      
00774MBC8, AERCAP IRELAND      
007903BF3, ADVANCED MICRO      
007903BG1, ADVANCED MICRO      
007944AH4, ADVENTIST HEALTH SYS
008252AM0, AFFILIATED MANAGERS 
008252AN8, AFFILIATED MANAGERS 
008252AP3, AFFILIATED MANAGERS 
00828EDC0, AFRICAN DEVELOPMENT 
00828EEE5, AFRICAN DEV BK MTN  
00828EEF2, AFRICAN DEV BK MTN  
00828EEN5, AFRICAN DEV BK MTN  
00828EER6, AFRICAN DEV BK MTN  
00846UAL5, AGILENT TECHNOLOGIES
00846UAM3, AGILENT TECHNOLOGIES
00846UAN1, AGILENT TECHNOLOGIES
008513AA1, AGREE LTD           
008513AB9, AGREE LTD           
008513AC7, AGREE LTD           
008513AD5, AGREE LTD           
00912XAN4, AIR LEASE CORP      
00912XAT1, AIR LEASE CORP      
00912XAV6, AIR LEASE CORP      
00912XAY0, AIR LEASE CORP      
00912XBA1, AIR LEASE CORP      
00912XBF0, AIR LEASE CORP      
00914AAA0, AIR LEASE CORP      
00914AAB8, AIR LEASE CORP      
00914AAE2, AIR LEASE CORP      
00914AAF9, AIR LEASE CORP      
00914AAG7, AIR LEASE CORP      
00914AAH5, AIR LEASE CORP      
00914AAJ1, AIR LEASE CORP      
00914AAK8, AIR LEASE CORP      
00914AAL6, AIR LEASE CORP      
00914AAM4, AIR LEASE CORP      
00914AAP7, AIR LEASE CORP      
00914AAQ5, AIR LEASE CORP      
00914AAR3, AIR LEASE CORP      
00914AAS1, AIR LEASE CORP      
00914AAT9, AIR LEASE CORP      
00914AAU6, AIR LEASE CORP      
009158AV8, AIR PRODUCTS AND    
009158AY2, AIR PRODUCTS AND    
009158AZ9, AIR PRODUCTS AND    
009158BA3, AIR PRODUCTS AND    
009158BB1, AIR PRODUCTS AND    
009158BC9, AIR PRODUCTS AND    
009158BF2, AIR PRODUCTS AND    
00928QAQ4, AIRCASTLE LTD       
00928QAR2, AIRCASTLE LTD       
00928QAS0, AIRCASTLE LTD       
010392EE4, ALABAMA PWR CO      
010392EZ7, ALABAMA PWR CO      
010392FB9, ALABAMA PWR CO      
010392FD5, ALABAMA PWR CO      
010392FF0, ALABAMA PWR CO      
010392FG8, ALABAMA PWR CO      
010392FJ2, ALABAMA PWR CO      
010392FK9, ALABAMA PWR CO      
010392FL7, ALABAMA PWR CO      
010392FM5, ALABAMA PWR CO      
010392FN3, ALABAMA PWR CO      
010392FP8, ALABAMA PWR CO      
010392FR4, ALABAMA PWR CO      
010392FS2, ALABAMA PWR CO      
010392FT0, ALABAMA PWR CO      
010392FU7, ALABAMA PWR CO      
010392FV5, ALABAMA PWR CO      
010392FW3, ALABAMA PWR CO      
010392FX1, ALABAMA PWR CO      
010392FY9, ALABAMA PWR CO      
010392FZ6, ALABAMA PWR CO      
012653AD3, ALBEMARLE CORP      
012653AE1, ALBEMARLE CORP      
012653AF8, ALBEMARLE CORP      
012725AD9, ALBEMARLE CORP      
01273PAB8, ALBEMARLE WODGINA   
013716AQ8, ALCAN INC           
013716AU9, ALCAN INC           
013716AW5, ALCAN INC           
015271AG4, ALEXANDRIA REAL     
015271AH2, ALEXANDRIA REAL     
015271AJ8, ALEXANDRIA REAL     
015271AK5, ALEXANDRIA REAL     
015271AL3, ALEXANDRIA REAL     
015271AN9, ALEXANDRIA REAL     
015271AP4, ALEXANDRIA REAL     
015271AQ2, ALEXANDRIA REAL     
015271AR0, ALEXANDRIA REAL     
015271AS8, ALEXANDRIA REAL     
015271AT6, ALEXANDRIA REAL     
015271AU3, ALEXANDRIA REAL     
015271AV1, ALEXANDRIA REAL     
015271AW9, ALEXANDRIA REAL     
015271AX7, ALEXANDRIA REAL     
015271AY5, ALEXANDRIA REAL     
015271AZ2, ALEXANDRIA REAL     
015271BA6, ALEXANDRIA REAL     
015271BB4, ALEXANDRIA REAL     
01609WAQ5, ALIBABA GROUP       
01609WAR3, ALIBABA GROUP       
01609WAT9, ALIBABA GROUP       
01609WAU6, ALIBABA GROUP       
01609WAV4, ALIBABA GROUP       
01609WAW2, ALIBABA GROUP       
01609WAX0, ALIBABA GROUP HLDG  
01609WAY8, ALIBABA GROUP       
01609WAZ5, ALIBABA GROUP HLDG  
01609WBA9, ALIBABA GROUP HLDG  
017175AE0, ALLEGHANY CORP MD   
017175AF7, ALLEGHANY CORP MD   
017475AC8, CARDINAL HEALTH INC 
01748NAD6, ALLEGION US HLDG CO 
01748NAE4, ALLEGION US HLDG CO 
01748TAB7, ALLEGION PLC        
01748TAC5, ALLEGION US HLDG CO 
020002AP6, ALLSTATE CORP       
020002AQ4, ALLSTATE CORP       
020002AS0, ALLSTATE CORP       
020002BA8, ALLSTATE CORP       
020002BC4, ALLSTATE CORP       
020002BD2, ALLSTATE CORP       
020002BG5, ALLSTATE CORP       
020002BH3, ALLSTATE CORP       
020002BJ9, ALLSTATE CORP       
020002BK6, ALLSTATE CORP       
02005NAV2, ALLY FINL INC       
02005NBA7, ALLY FINL INC       
02005NBH2, ALLY FINL INC       
02005NBJ8, ALLY FINL INC       
02005NBL3, ALLY FINL INC       
02005NBP4, ALLY FINL INC       
02005NBQ2, ALLY FINL INC       
02005NBR0, ALLY FINL INC       
02006DE80, ALLY FINL INC       
02006DF48, ALLY FINL INC       
02006DG70, ALLY FINL INC       
02006DG96, ALLY FINL INC       
02006DUE9, ALLY FINL INC       
02006DVD0, ALLY FINL INC       
02006DVN8, ALLY FINL INC       
02006DWN7, ALLY FINL INC       
02007GA37, ALLY BK SANDY UTAH  
02007GA52, ALLY BK SANDY UTAH  
02007GB28, ALLY BK SANDY UTAH  
02007GB69, ALLY BK SANDY UTAH  
02007GC50, ALLY BK SANDY UTAH  
02007GC84, ALLY BK SANDY UTAH  
02007GD59, ALLY BK SANDY UTAH  
02007GD67, ALLY BK SANDY UTAH  
02007GD91, ALLY BK SANDY UTAH  
02007GE25, ALLY BK SANDY UTAH  
02007GF24, ALLY BK SANDY UTAH  
02007GF65, ALLY BK SANDY UTAH  
02007GF99, ALLY BK SANDY UTAH  
02007GG64, ALLY BK SANDY UTAH C
02007GG80, ALLY BK SANDY UTAH  
02007GK69, ALLY BK SANDY UTAH  
02007GK85, ALLY BK SANDY UTAH  
02007GM83, ALLY BK SANDY UTAH C
02007GN82, ALLY BK SANDY UTAH  
02007GN90, ALLY BK SANDY UTAH  
02007GNS8, ALLY BK SANDY UTAH  
02007GP31, ALLY BK SANDY UTAH  
02007GP56, ALLY BK SANDY UTAH  
02007GP72, ALLY BK SANDY UTAH  
02007GP80, ALLY BK SANDY UTAH  
02007GP98, ALLY BK SANDY UTAH  
02007GPD9, ALLY BK SANDY UTAH  
02007GPJ6, ALLY BK SANDY UTAH  
02007GPM9, ALLY BK SANDY UTAH  
02007GPN7, ALLY BK SANDY UTAH  
02007GPQ0, ALLY BK SANDY UTAH  
02007GPS6, ALLY BK SANDY UTAH  
02007GQ30, ALLY BK SANDY UTAH  
02007GQ48, ALLY BK SANDY UTAH  
02007GQ55, ALLY BK SANDY UTAH  
02007GQA4, ALLY BK SANDY UTAH  
02007GQB2, ALLY BK SANDY UTAH  
02007GQE6, ALLY BK SANDY UTAH  
02007GQH9, ALLY BK SANDY UTAH  
02007GQM8, ALLY BK SANDY UTAH  
02007GQN6, ALLY BK SANDY UTAH  
02007GQR7, ALLY BK SANDY UTAH  
02007GQW6, ALLY BK SANDY UTAH  
02007GQZ9, ALLY BK SANDY UTAH  
02007GRG0, ALLY BK SANDY UTAH  
02007GRH8, ALLY BK SANDY UTAH  
02007GRJ4, ALLY BK SANDY UTAH  
02007GRM7, ALLY BK SANDY UTAH  
02007GRS4, ALLY BK SANDY UTAH  
02007GRW5, ALLY BK SANDY UTAH  
02007GRY1, ALLY BK SANDY UTAH  
02007GRZ8, ALLY BK SANDY UTAH  
02007GSH7, ALLY BK SANDY UTAH  
02007GSR5, ALLY BK SANDY UTAH  
02007GSU8, ALLY BK SANDY UTAH  
02007GTQ6, ALLY BK SANDY UTAH  
02007GUB7, ALLY BK SANDY UTAH  
02007GUE1, ALLY BK SANDY UTAH  
02007GUJ0, ALLY BK SANDY UTAH  
02007GUL5, ALLY BK SANDY UTAH  
02007GVB6, ALLY BK SANDY UTAH  
02007GWV1, ALLY BK SANDY UTAH  
02007GXH1, ALLY BK SANDY UTAH  
02007GXK4, ALLY BK SANDY UTAH  
02007GXZ1, ALLY BK SANDY UTAH  
02007GYA5, ALLY BK SANDY UTAH  
02007GYG2, ALLY BK SANDY UTAH  
02007GYR8, ALLY BK SANDY UTAH  
02007GZT3, ALLY BK SANDY UTAH  
02079KAB3, ALPHABET INC        
02079KAC1, ALPHABET INC        
02079KAD9, ALPHABET INC        
02079KAE7, ALPHABET INC        
02079KAF4, ALPHABET INC        
02079KAG2, ALPHABET INC        
02079KAH0, ALPHABET INC        
02079KAJ6, ALPHABET INC        
02081QCL2, ALPINE BKS COLO     
02209SAM5, ALTRIA GROUP INC    
02209SAQ6, ALTRIA GROUP INC    
02209SAR4, ALTRIA GROUP INC    
02209SAS2, ALTRIA GROUP INC    
02209SAU7, ALTRIA GROUP INC    
02209SAV5, ALTRIA GROUP INC    
02209SBB8, ALTRIA GROUP INC    
02209SBC6, ALTRIA GROUP INC    
02209SBD4, ALTRIA GROUP INC    
02209SBE2, ALTRIA GROUP INC    
02209SBF9, ALTRIA GROUP INC    
02209SBG7, ALTRIA GROUP INC    
02209SBH5, ALTRIA GROUP INC    
02209SBJ1, ALTRIA GROUP INC    
02209SBK8, ALTRIA GROUP INC    
02209SBL6, ALTRIA GROUP INC    
02209SBM4, ALTRIA GROUP INC    
02209SBN2, ALTRIA GROUP INC    
02209SBP7, ALTRIA GROUP INC    
022663AS7, AMALGAMATED         
022663CA4, AMALGAMATED         
023135AN6, AMAZON COM INC      
023135AP1, AMAZON COM INC      
023135AQ9, AMAZON COM INC      
023135AZ9, AMAZON COM INC      
023135BC9, AMAZON COM INC      
023135BF2, AMAZON COM INC      
023135BJ4, AMAZON COM INC      
023135BM7, AMAZON COM INC      
023135BN5, AMAZON COM INC      
023135BQ8, AMAZON COM INC      
023135BR6, AMAZON COM INC      
023135BS4, AMAZON COM INC      
023135BT2, AMAZON COM INC      
023135BU9, AMAZON COM INC      
023135BW5, AMAZON COM INC      
023135BX3, AMAZON COM INC      
023135BY1, AMAZON COM INC      
023135BZ8, AMAZON COM INC      
023135CA2, AMAZON COM INC      
023135CB0, AMAZON COM INC      
023135CC8, AMAZON COM INC      
023135CD6, AMAZON COM INC      
023135CE4, AMAZON COM INC      
023135CF1, AMAZON COM INC      
023135CG9, AMAZON COM INC      
023135CH7, AMAZON COM INC      
023135CJ3, AMAZON COM INC      
023135CK0, AMAZON COM INC      
023135CM6, AMAZON COM INC      
023135CN4, AMAZON COM INC      
023135CP9, AMAZON COM INC      
023135CQ7, AMAZON COM INC      
023135CR5, AMAZON COM INC      
02342TAE9, AMDOCS LTD          
02343JAA8, AMCOR FLEXIBLES     
02343UAG0, AMCOR FINANCE (USA) 
02343UAH8, AMCOR FINANCE (USA) 
02343UAJ4, AMCOR FINANCE (USA) 
02344AAA6, AMCOR FLEXIBLES     
023551AF1, HESS CORP           
023551AJ3, HESS CORP           
023551AM6, HESS CORP           
023608AG7, AMEREN CORP         
023608AH5, AMEREN CORP         
023608AJ1, AMEREN CORP         
023608AK8, AMEREN CORP         
023608AL6, AMEREN CORP         
02360FAB2, UNION ELEC CO       
02361DAM2, AMEREN ILL CO       
02361DAN0, AMEREN ILL CO       
02361DAP5, AMEREN ILL CO       
02361DAQ3, AMEREN ILL CO       
02361DAR1, AMEREN ILL CO       
02361DAS9, AMEREN ILL CO       
02361DAT7, AMEREN ILL CO       
02361DAU4, AMEREN ILL CO       
02361DAV2, AMEREN ILL CO       
02361DAX8, AMEREN ILL CO       
02361DAY6, AMEREN ILL CO       
02361DAZ3, AMEREN ILL CO       
02361DBA7, AMEREN ILL CO       
02364WAJ4, AMERICA MOVIL SAB DE
02364WAP0, AMERICA MOVIL SAB DE
02364WAW5, AMERICA MOVIL SAB DE
02364WBE4, AMERICA MOVIL SAB DE
02364WBG9, AMERICA MOVIL SAB DE
02364WBH7, AMERICA MOVIL SAB DE
02364WBJ3, AMERICA MOVIL SAB DE
02364WBK0, AMERICA MOVIL SAB DE
02401LAA2, AMERICAN ASSETS     
02519AAE7, AMERICAN COML BK &TR
025537AJ0, AMERICAN ELEC PWR   
025537AM3, AMERICAN ELEC PWR   
025537AN1, AMERICAN ELEC PWR   
025537AP6, AMERICAN ELEC PWR   
025537AQ4, AMERICAN ELEC PWR   
025537AR2, AMERICAN ELEC PWR   
025537AV3, AMERICAN ELEC PWR   
025537AW1, AMERICAN ELEC PWR   
025537AX9, AMERICAN ELEC PWR   
02557TAD1, AMERICAN ELEC PWR   
025816AZ2, AMERICAN EXPRESS CO 
025816BF5, AMERICAN EXPRESS CO 
025816BK4, AMERICAN EXPRESS CO 
025816BR9, AMERICAN EXPRESS CO 
025816CA5, AMERICAN EXPRESS CO 
025816CC1, AMERICAN EXPRESS CO 
025816CF4, AMERICAN EXPRESS CO 
025816CG2, AMERICAN EXPRESS CO 
025816CK3, AMERICAN EXPRESS CO 
025816CM9, AMERICAN EXPRESS CO 
025816CP2, AMERICAN EXPRESS CO 
025816CQ0, AMERICAN EXPRESS CO 
025816CS6, AMERICAN EXPRESS CO 
025816CV9, AMERICAN EXPRESS CO 
025816CW7, AMERICAN EXPRESS CO 
025816CY3, AMERICAN EXPRESS CO 
025816DB2, AMERICAN EXPRESS CO 
025816DC0, AMERICAN EXPRESS CO 
02589AA28, AMERICAN EXPRESS    
02589AB68, AMERICAN EXPRESS    
02589ABT8, AMERICAN EXPRESS    
02589AC42, AMERICAN EXPRESS    
02589ACD2, AMERICAN EXPRESS    
02589ACE0, AMERICAN EXPRESS    
02589ADE9, AMERICAN EXPRESS    
02589AE32, AMERICAN EXPRESS    
02589AEP3, AMERICAN EXPRESS    
02589AES7, AMERICAN EXPRESS    
02589AET5, AMERICAN EXPRESS    
02589AEW8, AMERICAN EXPRESS    
025932AL8, AMERICAN FINANCIAL  
025932AP9, AMERICAN FINANCIAL  
026351AU0, AMERICAN GENERAL    
02665WBH3, AMERICAN HONDA FIN  
02665WBP5, AMERICAN HONDA FIN  
02665WCE9, AMERICAN HONDA FIN  
02665WCJ8, AMERICAN HONDA FIN  
02665WCQ2, AMERICAN HONDA FIN  
02665WCT6, AMERICAN HONDA FIN  
02665WCZ2, AMERICAN HONDA FIN  
02665WDD0, AMERICAN HONDA FIN  
02665WDJ7, AMERICAN HONDA FIN  
02665WDK4, AMERICAN HONDA FIN  
02665WDL2, AMERICAN HONDA FIN  
02665WDM0, AMERICAN HONDA FIN  
02665WDN8, AMERICAN HONDA FIN  
02665WDS7, AMERICAN HONDA FIN  
02665WDT5, AMERICAN HONDA FIN  
02665WDW8, AMERICAN HONDA FIN  
02665WDY4, AMERICAN HONDA FIN  
02665WDZ1, AMERICAN HONDA FIN  
02665WEA5, AMERICAN HONDA FIN  
02665WEB3, AMERICAN HONDA FIN  
02665WEC1, AMERICAN HONDA FIN  
02665WED9, AMERICAN HONDA FIN  
02665WEF4, AMERICAN HONDA FIN  
02665WEH0, AMERICAN HONDA FIN  
02665WEJ6, AMERICAN HONDA FIN  
02666TAA5, AMERICAN HOMES 4    
02666TAB3, AMERICAN HOMES 4    
02666TAC1, AMERICAN HOMES 4    
02666TAD9, AMERICAN HOMES 4    
02666TAE7, AMERICAN HOMES 4    
02666TAF4, AMERICAN HOMES 4    
026874AZ0, AMERICAN INTL GROUP 
026874CW5, AMERICAN INTL GROUP 
026874CY1, AMERICAN INTL GROUP 
026874DA2, AMERICAN INTL GROUP 
026874DC8, AMERICAN INTL GROUP 
026874DF1, AMERICAN INTL GROUP 
026874DK0, AMERICAN INTL GROUP 
026874DL8, AMERICAN INTL GROUP 
026874DN4, AMERICAN INTL GROUP 
026874DP9, AMERICAN INTL GROUP 
026874DR5, AMERICAN INTL GROUP 
026874DS3, AMERICAN INTL GROUP 
028402BY0, AMERICAN NATL BK    
028402CG8, AMERICAN NATL BK    
03027XAD2, AMERICAN TOWER CORP 
03027XAG5, AMERICAN TOWER CORP 
03027XAJ9, AMERICAN TOWER CORP 
03027XAK6, AMERICAN TOWER CORP 
03027XAM2, AMERICAN TOWER CORP 
03027XAP5, AMERICAN TOWER CORP 
03027XAR1, AMERICAN TOWER CORP 
03027XAT7, AMERICAN TOWER CORP 
03027XAU4, AMERICAN TOWER CORP 
03027XAV2, AMERICAN TOWER CORP 
03027XAW0, AMERICAN TOWER CORP 
03027XAX8, AMERICAN TOWER CORP 
03027XAY6, AMERICAN TOWER CORP 
03027XAZ3, AMERICAN TOWER CORP 
03027XBA7, AMERICAN TOWER CORP 
03027XBB5, AMERICAN TOWER CORP 
03027XBC3, AMERICAN TOWER CORP 
03027XBD1, AMERICAN TOWER CORP 
03027XBG4, AMERICAN TOWER CORP 
03027XBH2, AMERICAN TOWER CORP 
03027XBJ8, AMERICAN TOWER CORP 
03027XBK5, AMERICAN TOWER CORP 
03027XBL3, AMERICAN TOWER CORP 
03027XBM1, AMERICAN TOWER CORP 
03027XBR0, AMERICAN TOWER CORP 
03027XBS8, AMERICAN TOWER CORP 
03027XBV1, AMERICAN TOWER CORP 
03027XBW9, AMERICAN TOWER CORP 
03027XBY5, AMERICAN TOWER CORP 
03027XBZ2, AMERICAN TOWER CORP 
03027XCC2, AMERICAN TOWER CORP 
03027XCD0, AMERICAN TOWER CORP 
03040WAD7, AMERICAN WTR CAP    
03040WAJ4, AMERICAN WTR CAP    
03040WAK1, AMERICAN WTR CAP    
03040WAL9, AMERICAN WTR CAP    
03040WAM7, AMERICAN WTR CAP    
03040WAN5, AMERICAN WTR CAP    
03040WAP0, AMERICAN WTR CAP    
03040WAQ8, AMERICAN WTR CAP    
03040WAR6, AMERICAN WTR CAP    
03040WAS4, AMERICAN WTR CAP    
03040WAT2, AMERICAN WTR CAP    
03040WAU9, AMERICAN WTR CAP    
03040WAV7, AMERICAN WTR CAP    
03040WAW5, AMERICAN WTR CAP    
03040WAX3, AMERICAN WTR CAP    
03040WAY1, AMERICAN WTR CAP    
03040WAZ8, AMERICAN WTR CAP    
03040WBA2, AMERICAN WTR CAP    
03073EAL9, AMERISOURCEBERGEN   
03073EAM7, AMERISOURCEBERGEN   
03073EAN5, AMERISOURCEBERGEN   
03073EAP0, AMERISOURCEBERGEN   
03073EAQ8, AMERISOURCEBERGEN   
03073EAR6, AMERISOURCEBERGEN   
03073EAT2, AMERISOURCEBERGEN   
03076CAF3, AMERIPRISE FINL INC 
03076CAG1, AMERIPRISE FINL INC 
03076CAH9, AMERIPRISE FINL INC 
03076CAK2, AMERIPRISE FINL INC 
03076CAL0, AMERIPRISE FINL INC 
03076CAM8, AMERIPRISE FINL INC 
03077CDB8, AMERIS BK MOULTRIE  
03077CDE2, AMERIS BK MOULTRIE  
030955AN8, AMERITECH CAP       
030955AP3, AMERITECH CAP       
031162AA8, AMGEN INC           
031162AW0, AMGEN INC           
031162BA7, AMGEN INC           
031162BC3, AMGEN INC           
031162BE9, AMGEN INC           
031162BH2, AMGEN INC           
031162BK5, AMGEN INC           
031162BP4, AMGEN INC           
031162BV1, AMGEN INC           
031162BY5, AMGEN INC           
031162BZ2, AMGEN INC           
031162CD0, AMGEN INC           
031162CF5, AMGEN INC           
031162CH1, AMGEN INC           
031162CJ7, AMGEN INC           
031162CQ1, AMGEN INC           
031162CR9, AMGEN INC           
031162CS7, AMGEN INC           
031162CT5, AMGEN INC           
031162CU2, AMGEN INC           
031162CV0, AMGEN INC           
031162CW8, AMGEN INC           
031162CY4, AMGEN INC           
031162CZ1, AMGEN INC           
031162DA5, AMGEN INC           
031162DB3, AMGEN INC           
031162DC1, AMGEN INC           
031162DD9, AMGEN INC           
031162DE7, AMGEN INC           
031162DF4, AMGEN INC           
031162DG2, AMGEN INC           
031162DH0, AMGEN INC           
031162DJ6, AMGEN INC           
031162DK3, AMGEN INC           
031162DM9, AMGEN INC           
031162DN7, AMGEN INC           
031162DP2, AMGEN INC           
031162DQ0, AMGEN INC           
031162DR8, AMGEN INC           
031162DS6, AMGEN INC           
031162DT4, AMGEN INC           
031162DU1, AMGEN INC           
032095AG6, AMPHENOL CORP       
032095AH4, AMPHENOL CORP       
032095AJ0, AMPHENOL CORP       
032095AK7, AMPHENOL CORP       
032095AL5, AMPHENOL CORP       
032095AM3, AMPHENOL CORP       
032654AN5, ANALOG DEVICES INC  
032654AS4, ANALOG DEVICES INC  
032654AU9, ANALOG DEVICES INC  
032654AV7, ANALOG DEVICES INC  
032654AW5, ANALOG DEVICES INC  
032654AX3, ANALOG DEVICES INC  
035229BP7, ANHEUSER BUSCH COS  
035229BQ5, ANHEUSER BUSCH COS  
035229CF8, ANHEUSER BUSCH COS  
035229CG6, ANHEUSER BUSCH COS  
035229CJ0, ANHEUSER BUSCH COS  
035229CL5, ANHEUSER BUSCH COS  
035229CM3, ANHEUSER BUSCH COS  
035229CN1, ANHEUSER BUSCH COS  
035229CQ4, ANHEUSER BUSCH COS  
035229DA8, ANHEUSER BUSCH COS  
03522AAG5, ANHEUSER-BUSCH COS  
03522AAH3, ANHEUSER-BUSCH COS  
03522AAJ9, ANHEUSER-BUSCH COS  
03523TBQ0, ANHEUSER-BUSCH INBEV
03523TBT4, ANHEUSER-BUSCH INBEV
03523TBU1, ANHEUSER-BUSCH INBEV
03523TBV9, ANHEUSER-BUSCH INBEV
03523TBW7, ANHEUSER-BUSCH INBEV
035240AF7, ANHEUSER-BUSCH INBEV
035240AG5, ANHEUSER-BUSCH INBEV
035240AL4, ANHEUSER-BUSCH INBEV
035240AM2, ANHEUSER-BUSCH INBEV
035240AN0, ANHEUSER-BUSCH INBEV
035240AP5, ANHEUSER-BUSCH INBEV
035240AQ3, ANHEUSER-BUSCH INBEV
035240AR1, ANHEUSER-BUSCH INBEV
